player_id,player_name,team,games,fumbles,fumbles_lost,forced_fumbles,own_fumbles_recoveries,opponent_fumbles_recoveries,touchdowns
tanner-hudson,Tanner Hudson,Cincinnati Bengals,11,1,1,0,1,,
travis-kelce,Travis Kelce,Kansas City Chiefs,16,2,1,0,,,
elijah-moore,Elijah Moore,Cleveland Browns,17,,,0,,,
jalen-reeves-maybin,Jalen Reeves-Maybin,Detroit Lions,10,,,1,,,
rashee-rice,Rashee Rice,Kansas City Chiefs,4,,,1,,,
laviska-shenault-jr,Laviska Shenault Jr.,Los Angeles Chargers,1,,,,,,
laviska-shenault-jr,Laviska Shenault Jr.,Seattle Seahawks,11,2,2,0,,,
devonta-smith,DeVonta Smith,Philadelphia Eagles,13,,,0,,,
jake-bailey,Jake Bailey,Miami Dolphins,17,1,1,0,,,
tyler-conklin,Tyler Conklin,New York Jets,16,0,0,,1,,
dylan-laube,Dylan Laube,Las Vegas Raiders,10,1,1,0,,,
david-moore,David Moore,Carolina Panthers,17,,,0,,,
kalif-raymond,Kalif Raymond,Detroit Lions,12,,,,,,
steven-sims,Steven Sims,Baltimore Ravens,2,,,,,,
steven-sims,Steven Sims,Houston Texans,7,2,1,,,,
myles-gaskin,Myles Gaskin,Minnesota Vikings,5,,,,,,
myles-gaskin,Myles Gaskin,Minnesota Vikings,5,,,,,,
jonnu-smith,Jonnu Smith,Miami Dolphins,17,2,1,0,,,
jake-browning,Jake Browning,Cincinnati Bengals,3,,,,,,
tavierre-thomas,Tavierre Thomas,Tampa Bay Buccaneers,17,,,0,,,
brandin-cooks,Brandin Cooks,Dallas Cowboys,10,,,,,,
drake-london,Drake London,Atlanta Falcons,17,0,0,0,1,,
jalen-reagor,Jalen Reagor,Los Angeles Chargers,8,1,1,,,,
jalen-nailor,Jalen Nailor,Minnesota Vikings,17,1,1,1,,,
cade-otton,Cade Otton,Tampa Bay Buccaneers,14,2,1,0,2,,
drew-sample,Drew Sample,Cincinnati Bengals,17,1,0,1,,,
kadarius-toney,Kadarius Toney,Cleveland Browns,3,1,1,,,,
jha-quan-jackson,Jha'Quan Jackson,Tennessee Titans,12,5,2,,2,,
cedric-tillman-2,Cedric Tillman,Cleveland Browns,11,1,1,,,,
george-pickens,George Pickens,Pittsburgh Steelers,14,1,1,0,,,
jerry-jeudy,Jerry Jeudy,Cleveland Browns,17,,,0,,,
davante-adams,Davante Adams,New York Jets,11,,,0,,,
davante-adams,Davante Adams,Las Vegas Raiders,3,,,0,,,
ladd-mcconkey,Ladd McConkey,Los Angeles Chargers,16,2,0,0,,,
george-kittle,George Kittle,San Francisco 49ers,15,,,0,,,
jauan-jennings,Jauan Jennings,San Francisco 49ers,15,1,0,0,1,,
mike-evans,Mike Evans,Tampa Bay Buccaneers,14,0,0,0,1,,
tee-higgins,Tee Higgins,Cincinnati Bengals,12,1,1,0,,,
michael-pittman-2,Michael Pittman,Indianapolis Colts,16,1,1,0,,,
nico-collins,Nico Collins,Houston Texans,12,,,0,,,
a-j-brown,A.J. Brown,Philadelphia Eagles,13,,,0,,,
zach-ertz,Zach Ertz,Washington Commanders,17,1,0,0,,,
hunter-henry,Hunter Henry,New England Patriots,16,,,,,,
d-k-metcalf,DK Metcalf,Seattle Seahawks,15,2,2,,,,
pat-freiermuth,Pat Freiermuth,Pittsburgh Steelers,17,3,2,,1,,
mike-gesicki,Mike Gesicki,Cincinnati Bengals,17,1,1,,,,
david-njoku,David Njoku,Cleveland Browns,11,,,0,,,
marvin-harrison-jr,Marvin Harrison Jr.,Arizona Cardinals,17,1,1,0,,,
jake-ferguson,Jake Ferguson,Dallas Cowboys,14,4,2,0,1,,
deandre-hopkins,DeAndre Hopkins,Kansas City Chiefs,10,,,,,,
deandre-hopkins,DeAndre Hopkins,Tennessee Titans,6,1,0,0,,,
dalton-schultz,Dalton Schultz,Houston Texans,17,,,,,,
will-dissly,Will Dissly,Los Angeles Chargers,15,,,,,,
juwan-johnson,Juwan Johnson,New Orleans Saints,17,2,0,,1,,
tyler-lockett,Tyler Lockett,Seattle Seahawks,17,,,,,,
jalen-tolbert,Jalen Tolbert,Dallas Cowboys,17,0,0,0,2,,
noah-fant-x4946,Noah Fant,Seattle Seahawks,14,,,0,,,
adam-thielen,Adam Thielen,Carolina Panthers,10,,,0,,,
evan-engram,Evan Engram,Jacksonville Jaguars,9,1,1,0,,,
cole-kmet,Cole Kmet,Chicago Bears,17,,,0,,,
romeo-doubs,Romeo Doubs,Green Bay Packers,13,,,0,,,
rashod-bateman,Rashod Bateman,Baltimore Ravens,17,,,0,,,
austin-hooper,Austin Hooper,New England Patriots,17,2,1,0,1,,
amari-cooper,Amari Cooper,Buffalo Bills,8,,,,,,
amari-cooper,Amari Cooper,Cleveland Browns,6,,,,,,
dalton-kincaid,Dalton Kincaid,Buffalo Bills,13,1,0,,,,
dallas-goedert,Dallas Goedert,Philadelphia Eagles,10,2,0,0,,,
isaiah-likely,Isaiah Likely,Baltimore Ravens,16,1,1,0,,,
t-j-hockenson,T.J. Hockenson,Minnesota Vikings,10,,,,,,
jordan-akins,Jordan Akins,Cleveland Browns,17,1,0,0,1,,
brenton-strange,Brenton Strange,Jacksonville Jaguars,17,1,1,0,,,
josh-palmer,Josh Palmer,Los Angeles Chargers,15,,,,,,
dontayvion-wicks,Dontayvion Wicks,Green Bay Packers,17,,,0,,,
alec-pierce,Alec Pierce,Indianapolis Colts,16,,,0,,,
calvin-austin-iii,Calvin Austin III,Pittsburgh Steelers,17,1,1,,,,
noah-brown,Noah Brown,Washington Commanders,11,,,,,,
tim-patrick,Tim Patrick,Detroit Lions,16,,,,,,
ja-tavion-sanders,Ja'Tavion Sanders,Carolina Panthers,16,1,0,,1,,
foster-moreau,Foster Moreau,New Orleans Saints,17,,,0,,,
parker-washington,Parker Washington,Jacksonville Jaguars,17,2,0,0,2,,
nick-westbrook-ikhine,Nick Westbrook-Ikhine,Tennessee Titans,17,,,0,,,
mack-hollins,Mack Hollins,Buffalo Bills,17,0,0,0,,1,0
lil-jordan-humphrey,Lil'Jordan Humphrey,Denver Broncos,17,2,1,0,1,,
demarcus-robinson,Demarcus Robinson,Los Angeles Rams,17,,,0,,,
christian-kirk,Christian Kirk,Jacksonville Jaguars,8,,,0,,,
brandon-aiyuk,Brandon Aiyuk,San Francisco 49ers,7,,,,,,
grant-calcaterra,Grant Calcaterra,Philadelphia Eagles,17,0,0,0,1,,
van-jefferson,Van Jefferson,Pittsburgh Steelers,17,,,,,,
john-metchie,John Metchie III,Houston Texans,13,1,0,0,,,
tommy-tremble,Tommy Tremble,Carolina Panthers,12,1,1,0,,,
dawson-knox,Dawson Knox,Buffalo Bills,16,,,,,,
josh-oliver,Josh Oliver,Minnesota Vikings,15,,,0,,,
justin-watson,Justin Watson,Kansas City Chiefs,17,,,,,,
mike-williams,Mike Williams,Pittsburgh Steelers,9,,,,,,
mike-williams,Mike Williams,New York Jets,9,,,0,,,
gabe-davis,Gabe Davis,Jacksonville Jaguars,10,1,1,0,,,
robert-woods,Robert Woods,Houston Texans,15,3,1,,,,
juju-smith-schuster,JuJu Smith-Schuster,Kansas City Chiefs,14,,,0,,,
nick-vannett,Nick Vannett,Tennessee Titans,17,,,,,,
stone-smartt,Stone Smartt,Los Angeles Chargers,15,1,1,0,,,
nelson-agholor,Nelson Agholor,Baltimore Ravens,14,,,,,,
daniel-bellinger,Daniel Bellinger,New York Giants,17,,,0,,,
kylen-granson,Kylen Granson,Indianapolis Colts,17,,,0,,,
josh-reynolds,Josh Reynolds,Jacksonville Jaguars,4,,,0,,,
josh-reynolds,Josh Reynolds,Denver Broncos,5,,,,,,
adam-trautman,Adam Trautman,Denver Broncos,17,0,0,,1,,
brock-wright,Brock Wright,Detroit Lions,17,,,,,,
mo-alie-cox,Mo Alie-Cox,Indianapolis Colts,17,,,0,,,
luke-farrell,Luke Farrell,Jacksonville Jaguars,17,,,0,,,
julian-hill,Julian Hill,Miami Dolphins,16,1,0,0,,,
trey-palmer,Trey Palmer,Tampa Bay Buccaneers,15,1,0,,1,,
